-63640, -31820
-51875, 0
82186, 34699
-3879, -1940
-108830, -25937
-264749, -15262
292580, -40499
-49370, -24685
74938, 13915
1231, 37469
-101672, -24685
74548, 24523
-56984, -41439
-397637, -37274
424910, 22419
-2183, -1092
-102677, -38793
84780, 42390
-74748, -46323
-41541, -42390
86524, 27508
-358141, -43262
236426, -38366
95255, 30032
-61941, -30971
-64480, 0
107676, 38255
-26599, -13299
-91846, -32240
-265558, -5385
285817, -35793
-52216, -26108
86612, 10129
-90889, 0
-18585, -28246
82372, 29755
-64693, -32347
-420287, -9292
459783, 28587
-16132, -8066
-95417, -36026
8829, 4414
15474, -35557
-54636, -12151
83869, 12151
-375352, -19581
265552, -40283
64739, 19404
-39354, -19677
-66118, 0
97434, 28350
-25979, -12989
-93331, -33059
-248739, -10938
237972, -52049
-5371, -8069
80612, 0
-4465, 38073
-190330, -2685
167823, 26820
-122232, -72370
-335676, -83911
428461, 69188
-8879, -4440
-101157, -8625
82575, 41287
-57457, -38019
-48365, -41288
74663, 25708
-347291, -37331
244177, -38408
75588, 23568
-63505, -31752
-38580, 0
79308, 26405
-7971, -3985
-119205, -19290
-249257, -23934
296719, -35872
-52685, -26342
66122, 23731
990, 33061
-94883, -26343
77500, 24865
-74664, -45529
-375325, -38750
427852, 27682
-12994, -6497
-116581, -38524
100548, 50274
-58889, -37461
-51408, -50274
29231, 9741
-321940, -25704
260600, -30670
84416, 14615
-54814, -15869
-142468, 0
172499, 29817
-15143, -7572
-93640, -39376
-261364, 0
286839, -34082
-59480, -29740
96562, 12737
-20726, 37918
-99242, -29740
84939, 30767
-57801, -36052
-402542, -42470
428626, 26611
-7756, -3878
-102117, -41894
81943, 40971
-50329, -35251
-65941, -40972
94038, 29856
-358921, -47019
246972, -41926
76621, 29355
-63229, -31615
-48174, 0
96138, 30678
-31231, -15615
-87075, -24087
-262917, -11084
295318, -27337
-59066, -29533
75612, 16200
-8490, 33561
-91678, -29533
52998, 14221
-23921, -31300
-408022, -26499
429781, 25418
-32498, -16249
-80327, -45533
82859, 41429
-41904, -20952
-79384, -40163
102941, 32256
-379285, -51471
271793, -41967
62045, 28747
-46441, -23221
-64907, 0
105009, 27853
-19712, -9856
-93919, -32453
-265207, -4311
281955, -38586
-49505, -24752
85266, 8374
-6792, 39237
-98766, -24753
78459, 29084
-144348, -49383
-308458, -72174
423939, 24796
-13339, -6670
-14664, 43739
4576, 2288
-60554, -7332
-49462, -30277
88026, -8707
-361092, -44013
239264, -41632
87108, 26653
-59316, -29658
-44402, 0
73738, 28564
-9373, -4686
-99844, -22201
-258232, -17740
259581, -49247
-31067, -15534
188349, 675
-105621, 41364
-136314, -15534
107973, 27194
-55051, -41696
-401292, -53987
422512, 37071
-2574, -1287
-98750, -40052
84666, 42333
-74906, -44495
-400420, -42333
442265, 25803
-342861, -171431
240933, -30041
43129, 142031
-19862, -9931
-50812, 0
71658, 21564
-31927, -15471
-67433, -25406
-270352, -13851
262522, -37632
-24062, -15946
79434, 0
-21000, 29217
-84473, -12031
69104, 21533
-59160, -37265
-379864, -34552
428289, 29185
-15077, -7539
-89920, -28286
76963, 38482
-59386, -36172
-54376, -38481
90837, 27019
-369629, -45419
253310, -39929
79309, 26914
-48686, -24343
-56238, 0
81292, 27838
-13389, -6694
-95348, -28119
-269114, -13723
296800, -33831
-65954, -32977
101238, 13843
-37221, 32009
-84060, -32977
74801, 27379
-49812, -29536
-397452, -37400
431917, 29727
-4561, -2281
-103136, -36616
81926, 40963
-61788, -41499
-51334, -40963
-271788, -15598
346873, 0
-95020, -35634
56648, 18356
-28864, 13892
-59610, -28324
77828, 23001
-24001, -12000
-427317, -29805
422743, 24626
-35428, -20001
-73252, -54340
84148, 42074
-2138, -1069
-108738, -36626
81899, 27586
-428361, -54369
323249, -52556
85775, 31281
-21221, -10611
-89961, 0
79721, 27157
-73651, -41945
-41754, -39861
-257216, -17842
331484, 0
-119542, -43514
104486, 29606
-213469, 0
106343, -53563
59199, 28280
8417, 0
-465074, 0
452229, 27385
-62005, -33216
-52276, -57141
88163, 44082
-15115, -7558
-99357, -26138
84209, 28950
-399780, -49678
293285, -53248
78408, 28061
-10503, -5251
-125769, 0
113421, 27778
-61855, -37101
-55334, -56711
-263349, -1884
343956, 0
-111675, -43201
90963, 29948
-80918, 5022
-28931, -45481
40257, 10685
29343, 0
-601605, -14465
578100, 23047
-52192, -23177
-49675, -50933
75617, 37808
2314, 0
-109597, -24837
75172, 21753
-399315, -53642
298676, -50319
75358, 24945
2737, 0
-102391, 0
76464, 26084
-59219, -41204
-46023, -38232
-267821, -14389
335219, 0
-94397, -36511
68550, 20775
-42294, 13128
-54168, -34275
77679, 24884
-35033, -17517
-408833, -27084
412022, 22918
-55214, -27607
-46638, -49332
88111, 44056
-21908, -10954
-91073, -23319
84580, 29855
-403188, -45537
286090, -58549
86766, 27124
-8752, -4376
-99852, 0
79862, 29012
-61370, -40680
-46166, -39931
-259717, -13837
310335, 0
-85169, -40358
83645, 24547
-48918, 17363
-80367, -41822
104700, 29530
-4439, -2220
-537055, -40183
510148, 36677
-59196, -43052
-47957, -53576
91401, 45700
-14378, -7189
-105881, -23978
91296, 31219
-405117, -52941
285717, -59700
76661, 24279
6549, 0
-107667, 0
75428, 25485
-64162, -44926
-33841, -37714
-271991, -11287
338621, 0
-100934, -34073
84585, 25141
-55741, 14422
-53834, -42293
79404, 27207
-2378, -1189
-731409, -26917
703058, 24338
-47534, -37943
-49574, -48554
74467, 37234
-6343, -3172
-93088, -24787
75118, 25077
-431914, -46544
321233, -55340
72184, 18310
4731, 0
-100123, 0
77652, 27222
-77865, -47696
-24557, -38932
-265956, -12385
326003, 0
-84635, -24573
75244, 25328
-60297, 7474
-45170, -37622
83667, 26722
-15129, -7565
-1035829, -22585
1011634, 22172
-52993, -38594
-59839, -56416
90709, 45354
